,joint_pos [0],joint_pos [1],joint_pos [2],joint_pos [3],joint_pos [4],joint_pos [5],joint_pos [6]
count,99999,99999,99999,99999,99999,99999,99999
mean,0.54969955997126,0.881880878515744,0.120013245600476,-1.57769704408346,-1.07965463191344,2.01572607011051,0.6191105182663
std,0.525197187236236,0.522740567270418,0.495541717853575,0.721221792268096,1.13423853279652,0.821395639580848,1.44722844087081
min,-2.40316586497343,-1.77263286123892,-2.90401840218914,-3.08371800000199,-2.92996614037549,0.046621352613526,-2.91040669802925
25%,0.262264205465233,0.555291591928117,-0.144133792456189,-2.12797756262165,-2.00096413486484,1.4266626571902,-0.439713128409377
50%,0.585858934336152,0.852133278484037,0.136760452472171,-1.75125475717367,-1.09727421082682,1.93172127448585,0.812943907746082
75%,0.902833568495905,1.28406789875782,0.380599173809237,-1.09238709435518,-0.326731971655737,2.58232370240399,1.82736138365674
max,2.90509447246238,1.7827262010639,2.57359593973676,-0.024516614588511,2.91326777158557,3.78714084783701,2.91697945603644
