,joint_vel [0],joint_vel [1],joint_vel [2],joint_vel [3],joint_vel [4],joint_vel [5],joint_vel [6]
count,99999,99999,99999,99999,99999,99999,99999
mean,0.00386082876774,-0.002800932918664,-0.004247767672256,0.032925442121084,0.092970634979156,0.010773039118015,-0.100670847414616
std,0.529706310349033,0.537377580147188,0.62593334142058,0.792455517052796,1.09888983265657,0.754536367111261,0.906436313024843
min,-3.74147318101837,-3.15906643195851,-3.80655052809461,-5.76604971546553,-6.73373508751256,-6.12693647577733,-4.45763464794143
25%,-0.316540847533739,-0.349761697912144,-0.388147024882583,-0.449097449185105,-0.669147574035373,-0.469654924682348,-0.703372094479834
50%,0.005271620388604,-0.012884719208178,-0.007426737816418,0.011395015721873,0.08270254493016,0.005609940228095,-0.080737512532545
75%,0.325855043033642,0.329104946511088,0.37704348461424,0.505003083475409,0.849579969188187,0.492166873039656,0.507774049632409
max,4.17634097258069,3.46107891621414,4.0367829713536,6.99461083999901,5.05791299378969,5.31053616968359,4.00471225439467
