,handle_q_eef [x],handle_q_eef [y],handle_q_eef [z],handle_q_eef [w]
count,99999,99999,99999,99999
mean,-0.099178159628421,-0.459992714032616,0.411135484219681,0.236098779426783
std,0.375872850586705,0.369240699362179,0.386992675107241,0.355553778298687
min,-0.982525648140476,-0.999783939740467,-0.995775406069732,-0.995686297936064
25%,-0.398657113612756,-0.74507754448267,0.185840259281788,0.009933410257717
50%,-0.14185589082963,-0.523860411150325,0.494649728384524,0.281294154810458
75%,0.172893815585393,-0.26393137368525,0.706004073743415,0.500444645590067
max,0.993834709454326,0.977488971965997,0.999927143185681,0.997538540951723
