,door_v,knob_v,door,knob
count,99999,99999,99999,99999
mean,0.000508846407462,0,0.015352325775293,0
std,0.05728986607062,0,0.024173458969758,0
min,-1.15699396097841,0,-0.017212325087881,0
25%,0,0,0,0
50%,0.000102122968452,0,0.008496245256051,0
75%,0.006831312069462,0,0.020983511695754,0
max,0.778222824684141,0,0.341541914287761,0
