,dist [x],dist [y],dist [z]
count,99999,99999,99999
mean,0.159577245308421,-0.00875296213955,0.077835547504269
std,0.131232879505919,0.191864098481282,0.190982135478712
min,-0.129207897534244,-0.571943187642354,-0.486751157626105
25%,0.067979687333985,-0.13460781902565,-0.038139979442797
50%,0.131552940978555,-0.005110023041997,0.058039510628879
75%,0.224078430297306,0.10261204070306,0.182122837475303
max,1.08157308040824,0.816507348154729,0.887665053701306
